,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_objective,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,1.697284746170044,0.0949651066809897,0.009774446487426758,0.000746161802991188,0.05,1000,multi:softmax,0.1,2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 0.1, 'reg_lambda': 2}",1.0,0.9915254237288136,0.9915150134194323,1.0,0.9874201871995952,0.9940921248695682,0.005050746233140726,3
25,1.5521626472473145,0.013252567719738328,0.009676599502563476,0.00039719996042243444,0.05,1000,multi:softmax,1,0.1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
26,1.5941929817199707,0.01867456914133958,0.009375286102294923,0.0004890449984390542,0.05,1000,multi:softmax,1,1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
27,1.5917749881744385,0.009906253668186617,0.009775495529174805,0.0003978521226398877,0.05,1000,multi:softmax,1,1.2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 1.2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
28,1.6519565105438232,0.07248848406730313,0.009982490539550781,0.0003041251769553542,0.05,1000,multi:softmax,1,1.4,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 1.4}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
29,1.6773770809173585,0.0471514325104635,0.009774446487426758,0.0003993584219421566,0.05,1000,multi:softmax,1,2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1, 'reg_lambda': 2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
30,1.5530929565429688,0.010467836272585693,0.009077215194702148,0.00048684199565393875,0.05,1000,multi:softmax,1.2,0.1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 0.1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
31,1.6107537269592285,0.006958321433047349,0.0097747802734375,0.00039892393294544445,0.05,1000,multi:softmax,1.2,1,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 1}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
32,1.9746906757354736,0.10701937270260121,0.010571861267089843,0.00048902587067786,0.05,1000,multi:softmax,1.2,1.2,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 1.2}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
33,1.7065956592559814,0.012331036222291928,0.009276723861694336,0.0004004866298945343,0.05,1000,multi:softmax,1.2,1.4,"{'learning_rate': 0.05, 'n_estimators': 1000, 'objective': 'multi:softmax', 'reg_alpha': 1.2, 'reg_lambda': 1.4}",0.9957772900059964,0.9872698826597132,0.9915150134194323,1.0,0.9874201871995952,0.9923964746569475,0.004920688292187517,29
